"Date","Sales Count","Subtotal","Discounts","Total","Cost","Profit","Margin"
"2018-08-10 00:00","12","$895.66","$6.00","$1,021.00","$581.78","$313.88","35.04%"
"2018-08-11 00:00","7","$532.38","$2.00","$592.00","$268.39","$263.99","49.59%"
"2018-08-13 00:00","10","$1,369.78","$3.50","$1,556.50","$695.33","$674.45","49.24%"
"2018-08-14 00:00","9","$4,391.95","$102.50","$5,048.50","$3,299.23","$1,092.72","24.88%"
"2018-08-15 00:00","6","$368.11","$11.70","$405.30","$162.02","$206.09","55.99%"
"2018-08-16 00:00","10","$7,870.00","$0.00","$9,040.00","$5,065.55","$2,804.45","35.63%"
"2018-08-17 00:00","16","$5,642.90","$6.15","$6,474.35","$3,895.76","$1,747.14","30.96%"
"2018-08-18 00:00","5","$1,104.35","$0.00","$1,270.00","$661.35","$443.00","40.11%"
"2018-08-20 00:00","4","$180.00","$0.00","$207.00","$113.17","$66.83","37.13%"
"2018-08-21 00:00","10","$974.80","$13.00","$1,100.00","$465.83","$508.97","52.21%"
"2018-08-22 00:00","3","$577.74","$318.85","$653.15","$508.85","$68.89","11.92%"
"2018-08-23 00:00","5","$1,684.37","$0.00","$1,904.00","$944.19","$740.18","43.94%"
"2018-08-24 00:00","14","$7,711.31","$18.75","$8,820.75","$5,393.30","$2,318.01","30.06%"
"2018-08-25 00:00","6","$291.96","$46.25","$335.75","$173.24","$118.72","40.66%"
"2018-08-27 00:00","4","$328.05","$0.00","$372.00","$264.55","$63.50","19.36%"
"2018-08-28 00:00","6","$489.35","$0.00","$553.00","$261.87","$227.48","46.49%"
"2018-08-29 00:00","5","$826.31","$21.75","$938.25","$523.23","$303.08","36.68%"
"2018-08-30 00:00","8","$2,145.70","$1.20","$2,423.30","$1,135.58","$1,010.12","47.08%"
"2018-08-31 00:00","15","$963.48","$24.00","$1,108.00","$666.61","$296.87","30.81%"
"2018-09-01 00:00","6","$297.62","$0.00","$340.00","$154.85","$142.77","22.94%"
"2018-09-03 00:00","5","$587.84","$320.00","$676.00","$425.05","$162.79","27.69%"
"2018-09-04 00:00","11","$1,126.08","$4.00","$1,265.00","$775.73","$350.35","31.11%"
"2018-09-05 00:00","9","$141.30","$0.00","$162.50","$108.46","$32.84","8.53%"
"2018-09-06 00:00","6","$5,025.23","$0.00","$5,779.00","$3,947.23","$1,078.00","20.39%"
"2018-09-07 00:00","9","$1,009.37","$17.25","$1,148.75","$538.25","$471.12","22.2%"
"2018-09-08 00:00","8","$758.49","$0.00","$858.00","$308.61","$449.88","59.31%"
"2018-09-10 00:00","7","$560.86","$0.00","$645.00","$223.94","$336.92","60.07%"
"2018-09-11 00:00","7","$477.83","$0.00","$530.00","$174.43","$303.40","63.5%"
"2018-09-12 00:00","7","$504.93","$0.00","$579.50","$281.81","$223.12","44.19%"
"2018-09-13 00:00","3","$108.70","$0.00","$116.00","$28.51","$80.19","73.77%"
"2018-09-14 00:00","15","$1,432.18","$0.00","$1,630.50","$1,052.33","$379.85","26.2%"
"2018-09-15 00:00","9","$753.91","$94.00","$858.00","$423.42","$330.49","43.84%"
"2018-09-17 00:00","4","$5,474.07","$8.80","$6,295.20","$4,076.36","$1,397.71","25.53%"
"2018-09-18 00:00","4","$332.61","$0.00","$363.00","$102.36","$230.25","69.23%"
"2018-09-19 00:00","12","$811.30","$0.00","$916.49","$459.77","$351.53","43.33%"
"2018-09-20 00:00","7","$787.37","$49.75","$889.25","$375.87","$411.50","52.26%"
"2018-09-21 00:00","6","$698.70","$0.00","$778.00","$292.46","$406.24","58.14%"
"2018-09-22 00:00","11","$912.18","$32.00","$1,025.00","$407.45","$504.73","55.33%"
"2018-09-24 00:00","10","$1,445.88","$29.00","$1,654.50","$910.15","$535.73","37.05%"
"2018-09-25 00:00","9","$581.98","$9.00","$667.00","$253.73","$328.25","56.4%"
"2018-09-26 00:00","9","$14,984.99","$0.00","$17,226.00","$10,959.39","$4,025.60","26.86%"
"2018-09-27 00:00","8","$450.86","$0.00","$506.50","$212.85","$238.01","52.79%"
"2018-09-28 00:00","6","$484.17","$55.00","$547.00","$266.41","$217.76","37%"
